label,jurisdiction,state,topic,technology
"Weatherford TX","Weatherford",TX,natural gas compressor station ordinance,natural gas pipeline
"Friendswood TX","Friendswood",TX,natural gas compressor station ordinance,natural gas pipeline
"Keller TX","Keller",TX,natural gas compressor station ordinance,natural gas pipeline
"Drumore PA","Drumore Township",PA,natural gas compressor station ordinance,natural gas pipeline
"Oakmont PA","Oakmont",PA,natural gas compressor station ordinance,natural gas pipeline
"Elizabeth PA","Elizabeth",PA,natural gas compressor station ordinance,natural gas pipeline
"Montour PA","Montour",PA,oil and gas development compressor station ordinance,natural gas pipeline
"Rehoboth MA","Rehoboth",MA,natural gas compressor station ordinance,natural gas pipeline
"Longmeadow MA","Longmeadow",MA,natural gas utility facilities ordinance,natural gas pipeline
"Decatur IN","Decatur",IN,compressor station ordinance,natural gas pipeline
