permit_number,permit_issuance_date,permit_expiration_date,facility_name,facility_address,facility_county,facility_state,state_facility_id,initial_construction_commenced_notification_required,construction_commenced_notification_window_days,initial_startup_notification_required,startup_notification_window_days,permit_copy_onsite_required,right_of_entry_clause,permit_extraction_notes,source_file,num_generators,generator_ref,included_in_permit_project,original_permit_date,equipment_facility_id,make,model,rated_capacity_bhp,rated_capacity_hp,rated_capacity_kw,rated_capacity_mmbtu_per_hr,calculated_bhp,calculated_hp,calculated_kw,calculated_mmbtu_per_hr,primary_fuel_type,secondary_fuel_type,other_fuels,fuel_grade,fuel_specification,fuel_sulfur_content_pct,fuel_certification_required,fuel_change_permit_trigger,fuel_throughput_per_unit_limit,fuel_throughput_per_unit_scope,fuel_throughput_per_unit_group_ref,fuel_throughput_combined_limit,fuel_throughput_combined_group_ref,control_technology,operating_hours_per_unit_limit,operating_hours_per_unit_rolling_window,operating_hours_combined_limit,operating_hours_combined_group_ref,operating_hours_combined_rolling_window,allowed_operating_modes,opacity_limit_percent,hour_meter_required,observation_frequency,recordkeeping_window_years,nsps_subpart_iiii,mact_subpart_zzzz,generator_extraction_notes
74315,2025-04-15,,"1501 Moran Road Development Owner, LLC","22425 Sous Vide Lane Sterling, VA  20166",Loudoun County,VA,74315,True,30.0,True,15.0,True,"The permittee shall allow authorized local, state, and federal representatives, upon the presentation of credentials: a. To enter upon the permittee's premises on which the facility is located or in which any records are required to be kept under the terms and conditions of this permit; b. To have access to and copy at reasonable times any records required to be kept under the terms and conditions of this permit or the State Air Pollution Control Board Regulations; c. To inspect at reasonable times any facility, equipment, or process subject to the terms and conditions of this permit or the State Air Pollution Control Board Regulations; and d. To sample or test at reasonable times. For purposes of this condition, the time for inspection shall be deemed reasonable during regular business hours or whenever the facility is in operation. Nothing contained herein shall make an inspection time unreasonable during an emergency.","Permit number and facility ID from Registration No. on cover pages. Issuance date from 'Approved on April 15, 2025.' Facility address and county from 'located at' section. Notification requirements from Condition 18 (30 days for installation commencement; 15 days for integration operational period start/end). Right of entry from Condition 21. Generator count verification: Equipment List (Page 2) lists GEN-1 through GEN-24 with (24) identical units. Conditions repeatedly reference 'Ref. Nos. GEN-1 through GEN-24' as a single group. Total numGenerators across entries = 24; total equipment IDs found = 24; numbers align.",74315_DC_Permit.json,24.0,GEN-1 through GEN-24,True,2025-04-15,,Caterpillar,C175-16,4423.0,4423.0,3000.0,28.949,False,True,False,True,ultra-low sulfur diesel fuel oil,,,Grade No. 1-D S15 or Grade No. 2-D S15,"American Society for Testing and Materials (ASTM) specification, D975",0.0015,True,A change in the fuel type or the fuel sulfur content may require a permit to modify and operate.,,,,694540.0,GEN-1 through GEN-24,engine design; use of good operating practices and performing maintenance in accordance with the manufacturer recommendations.,500.0,calculated monthly as the sum of each consecutive 12-month period.,,,,"Emergency Power Generation - The emergency diesel engine gen-sets (Ref. Nos. GEN-1 through GEN-24) shall only be operated in the following modes:

a. In situations that arise from sudden and reasonably unforeseeable events where the primary energy or power source is disrupted or disconnected due to conditions beyond the control of an owner or operator of a facility including:

i. A failure of the electrical grid;  

ii. On-site disaster or equipment failure; or 

iii. Public service emergencies such as flood, fire, natural disaster, or severe weather conditions.

b. For participation in an ISO-declared emergency, where an ISO emergency is:

i. An abnormal system condition requiring manual or automatic action to maintain system frequency, to prevent loss of firm load, equipment damage, or tripping of system elements that could adversely affect the reliability of an electric system or the safety of persons or property;

ii. Capacity deficiency or capacity excess conditions;

iii. A fuel shortage requiring departure from normal operating procedures in order to minimize the use of such scarce fuel;

iv. Abnormal natural events or man-made threats that would require conservative operations to posture the system in a more reliable state; or

v. An abnormal event external to the ISO service territory that may require ISO action.

c. For scheduled maintenance checks and readiness testing (Scheduled MCRT).  

d. For unscheduled maintenance, testing, and operational training.

e. For the integration operational period, which is the period of time beginning with the first time the affected unit is started on-site and ending when the affected unit is fully integrated with the source's electrical system.",5.0,True,not less than once each day the emergency diesel engine gen-set is operated.,5.0,,,"Generator details (make/model/capacity and count) from Equipment List table (Page 2). Operating hour limits from Condition 7 (29 hours/year for Scheduled MCRT per unit; 500 hours/year for all purposes per unit, calculated monthly as the sum of each consecutive 12-month period). Allowed operating modes text from Condition 3. Fuel specification, grade, sulfur limit, and certification requirement from Conditions 8 and 9. Combined fuel throughput limit (694,540 gallons/365-day period) for the group from Condition 10. Control measures from Condition 1. Hour meter requirement and monitoring observation frequency from Condition 2. Opacity limit from Condition 12 (normal 5% with specified exceptions). NSPS/MACT applicability not explicitly stated as applicable; cover letter notes units 'may be subject', so fields left null."
17090039,2020-05-29,,"2021 Lunt Ave, LLC","2021 Lunt Avenue, Elk Grove Village, Cook County, 60007",Cook County,IL,031440ARR,True,30.0,True,15.0,,"to enter the Permittee's property where actual or potential effluent, emission or noise sources are located or where any activity is to be conducted pursuant to this permit, to have access to and copy any records required to be kept under the terms and conditions of this permit, to inspect, including during any hours of operation of equipment constructed or operated under this permit, such equipment and any equipment required to be kept, used, operated, calibrated and maintained under this permit, to obtain and remove samples of any discharge or emission of pollutants, and to enter and utilize any photographic, recording, testing, monitoring or other equipment","Primary identifier taken from 'Application No.: 17090039' and 'Time Extension for Construction Permit #17090039'. Facility I.D. No. extracted as '031440ARR'. Facility address taken from 'Location: 2021 Lunt Avenue, Elk Grove Village, Cook County, 60007'. Notifications required per 40 CFR 60.7(a): 30 days for construction commencement and 15 days for initial startup.",031440ARR_17090039_IL_Final_Permit_A.json,8.0,GENAA110 - GENAH110,True,,,,,3353.0,3353.0,2500.0,21.946,True,False,False,True,distillate fuel oil,,,"Grades No. 1 and 2 (i.e., diesel)",40 CFR 80.510(b),1.5e-05,,The use of any other fuel in any of the engines powering Generator Sets GENAA110 - GENAN110 may require that the Permittee first obtain a construction permit from the Illinois EPA and then perform stack testing to verify compliance with all applicable requirements.,,,,,,,200.0,Compliance with annual limits shall be determined on a monthly basis from the sum of the data for the current month plus the preceding 11 months.,,,,"In order for the engine to be considered an emergency stationary ICE under 40 CFR 60 Subpart IIII, any operation other than emergency operation, maintenance and testing, emergency demand response, and operation in non-emergency situations for 50 hours per year, as described in 40 CFR 60.4211(f) (1) through (3), is prohibited.",,True,,5.0,True,True,"Grouped exactly as written in permit opening description and emissions limits sections: 'eight (8) 2,500 kW (3,353 HP) diesel powered Emergency Generator Sets GENAA110 - GENAH110'. Per-unit runtime limit 200 hours/year taken from Condition 13(a)(i). Rolling window phrase taken from Condition 13(c). Fuel type/grade from Condition 12(b). Fuel specification and 15 ppm sulfur from 40 CFR 80.510(b) (Condition 11). Hour meter requirement from 40 CFR 60.4209(a) (Condition 18). NSPS IIII applicability from Condition 2; MACT ZZZZ applicability from Condition 3. Total generators verified: 8 in this group."
17090039,2021-08-24,,"2021 Lunt Ave, LLC","2021 Lunt Avenue, Elk Grove Village, Cook County, 60007",Cook County,IL,031440ARR,True,30.0,True,15.0,,"The Permittee shall allow any duly authorized agent of the Agency upon the presentation of credentials, at reasonable times: to enter the Permittee's property where actual or potential effluent, emission or noise sources are located or where any activity is to be conducted pursuant to this permit, to have access to and copy any records required to be kept under the terms and conditions of this permit, to inspect, including during any hours of operation of equipment constructed or operated under this permit, such equipment and any equipment required to be kept, used, operated, calibrated and maintained under this permit, to obtain and remove samples of any discharge or emission of pollutants, and to enter and utilize any photographic, recording, testing, monitoring or other equipment for the purpose of preserving, testing, monitoring, or recording any activity, discharge, or emission authorized by this permit.",Permit number taken from 'Application No.: 17090039' and subject line 'Time Extension for Construction Permit Number 17090039'. State Facility I.D. from 'I.D. No.: 031440ARR'. Address from 'Location:' line. Construction and startup notifications from 40 CFR 60.7(a). Generator count verification: 14 total generators identified - GENAA110 - GENAH110 (8) and GENAI110 - GENAN110 (6) - consistent across introductory equipment description and conditions sections.,031440ARR_17090039_IL_Final_Permit.json,8.0,GENAA110 - GENAH110,True,,,,,3674.0,3674.0,2500.0,24.047,True,False,False,True,distillate fuel oil,,,"Grades No. 1 and 2 (i.e., diesel)",,0.0015,,The use of any other fuel in any of the engines powering Generator Sets GENAA110 - GENAN110 may require that the Permittee first obtain a construction permit from the Illinois EPA and then perform stack testing to verify compliance with all applicable requirements.,,,,,,,200.0,Compliance with annual limits shall be determined on a monthly basis from the sum of the data for the current month plus the preceding 11 months.,,,,"any operation other than emergency operation, maintenance and testing, emergency demand response, and operation in non-emergency situations for 50 hours per year, as described-in 40 CFR 60.4211(f) (1) through (3), is prohibited.",30.0,True,,5.0,True,True,"Grouped equipment and capacities from cover/intro paragraph 'eight (8) 2,500 kWe (3,674 HP) diesel powered Emergency Generator Sets GENAA110 - GENAH110'. Fuel type/grade from Condition 12(b). Sulfur requirement from 35 Ill. Adm. Code 214.305(a)(2) (15 ppm). Operating hours limit from Condition 13(a)(i) ('shall not each exceed 200 hours/year') and rolling window from Condition 13(c). Allowed operating modes from 40 CFR 60.4211(f). Hour meter from 40 CFR 60.4209(a). Visible emissions limit from 35 Ill. Adm. Code 212.123(a). Make/model not stated anywhere in the permit."
17090039,2020-05-29,,"2021 Lunt Ave, LLC","2021 Lunt Avenue, Elk Grove Village, Cook County, 60007",Cook County,IL,031440ARR,True,30.0,True,15.0,,"to enter the Permittee's property where actual or potential effluent, emission or noise sources are located or where any activity is to be conducted pursuant to this permit, to have access to and copy any records required to be kept under the terms and conditions of this permit, to inspect, including during any hours of operation of equipment constructed or operated under this permit, such equipment and any equipment required to be kept, used, operated, calibrated and maintained under this permit, to obtain and remove samples of any discharge or emission of pollutants, and to enter and utilize any photographic, recording, testing, monitoring or other equipment","Primary identifier taken from 'Application No.: 17090039' and 'Time Extension for Construction Permit #17090039'. Facility I.D. No. extracted as '031440ARR'. Facility address taken from 'Location: 2021 Lunt Avenue, Elk Grove Village, Cook County, 60007'. Notifications required per 40 CFR 60.7(a): 30 days for construction commencement and 15 days for initial startup.",031440ARR_17090039_IL_Final_Permit_A.json,6.0,GENAI110 - GENAN110,True,,,,,2346.0,2346.0,1750.0,15.355,True,False,False,True,distillate fuel oil,,,"Grades No. 1 and 2 (i.e., diesel)",40 CFR 80.510(b),1.5e-05,,The use of any other fuel in any of the engines powering Generator Sets GENAA110 - GENAN110 may require that the Permittee first obtain a construction permit from the Illinois EPA and then perform stack testing to verify compliance with all applicable requirements.,,,,,,,150.0,Compliance with annual limits shall be determined on a monthly basis from the sum of the data for the current month plus the preceding 11 months.,,,,"In order for the engine to be considered an emergency stationary ICE under 40 CFR 60 Subpart IIII, any operation other than emergency operation, maintenance and testing, emergency demand response, and operation in non-emergency situations for 50 hours per year, as described in 40 CFR 60.4211(f) (1) through (3), is prohibited.",,True,,5.0,True,True,"Grouped exactly as written in permit opening description and emissions limits sections: 'six (6) 1,750 kW (2,346 HP) diesel powered Emergency Generator Sets (GENAI110 - GENAN110)'. Per-unit runtime limit 150 hours/year taken from Condition 13(b)(i). Rolling window phrase taken from Condition 13(c). Fuel type/grade from Condition 12(b). Fuel specification and 15 ppm sulfur from 40 CFR 80.510(b) (Condition 11). Hour meter requirement from 40 CFR 60.4209(a) (Condition 18). NSPS IIII applicability from Condition 2; MACT ZZZZ applicability from Condition 3. Total generators verified: 6 in this group."
17090039,2021-08-24,,"2021 Lunt Ave, LLC","2021 Lunt Avenue, Elk Grove Village, Cook County, 60007",Cook County,IL,031440ARR,True,30.0,True,15.0,,"The Permittee shall allow any duly authorized agent of the Agency upon the presentation of credentials, at reasonable times: to enter the Permittee's property where actual or potential effluent, emission or noise sources are located or where any activity is to be conducted pursuant to this permit, to have access to and copy any records required to be kept under the terms and conditions of this permit, to inspect, including during any hours of operation of equipment constructed or operated under this permit, such equipment and any equipment required to be kept, used, operated, calibrated and maintained under this permit, to obtain and remove samples of any discharge or emission of pollutants, and to enter and utilize any photographic, recording, testing, monitoring or other equipment for the purpose of preserving, testing, monitoring, or recording any activity, discharge, or emission authorized by this permit.",Permit number taken from 'Application No.: 17090039' and subject line 'Time Extension for Construction Permit Number 17090039'. State Facility I.D. from 'I.D. No.: 031440ARR'. Address from 'Location:' line. Construction and startup notifications from 40 CFR 60.7(a). Generator count verification: 14 total generators identified - GENAA110 - GENAH110 (8) and GENAI110 - GENAN110 (6) - consistent across introductory equipment description and conditions sections.,031440ARR_17090039_IL_Final_Permit.json,6.0,GENAI110 - GENAN110,True,,,,,2561.0,2561.0,1750.0,16.762,True,False,False,True,distillate fuel oil,,,"Grades No. 1 and 2 (i.e., diesel)",,0.0015,,The use of any other fuel in any of the engines powering Generator Sets GENAA110 - GENAN110 may require that the Permittee first obtain a construction permit from the Illinois EPA and then perform stack testing to verify compliance with all applicable requirements.,,,,,,,150.0,Compliance with annual limits shall be determined on a monthly basis from the sum of the data for the current month plus the preceding 11 months.,,,,"any operation other than emergency operation, maintenance and testing, emergency demand response, and operation in non-emergency situations for 50 hours per year, as described-in 40 CFR 60.4211(f) (1) through (3), is prohibited.",30.0,True,,5.0,True,True,"Grouped equipment and capacities from cover/intro paragraph 'six (6) 1,750 kWe (2,561 HP) diesel powered Emergency Generator Sets (GENAI110 - GENAN110)'. Fuel type/grade from Condition 12(b). Sulfur requirement from 35 Ill. Adm. Code 214.305(a)(2) (15 ppm). Operating hours limit from Condition 13(b)(i) ('shall not each exceed 150 hours/year') and rolling window from Condition 13(c). Allowed operating modes from 40 CFR 60.4211(f). Hour meter from 40 CFR 60.4209(a). Visible emissions limit from 35 Ill. Adm. Code 212.123(a). Make/model not stated anywhere in the permit."
GEN250001,2025-09-12,2030-09-11,205 MINNISINK ROAD DATA CENTER,"205 Minnisink Rd
Totowa Boro
Passaic County",Passaic County,NJ,32741,,,,,True,"The Department and it representatives have the right to enter and inspect any facility or property in accordance with N.J.A.C. 7:27-1.31(a)1-8; and No person shall obstruct, hinder or delay the Department or its representatives in its exercise of its rights.","Permit number taken from 'Permit Activity ID Number: GEN250001' and 'Permit Activity No.:  GEN250001'. Facility name/address from Plant Location block. Facility ID from 'Program Interest No: 32741' and 'Facility ID No.: 32741'. Approval and Expiration dates from header. Copy onsite requirement from Section A, (g). Right of entry excerpt from Section A, (k).",1109638_GEN250001_36949246.json,1.0,E1,,,GEN 1,,,2978.85,2978.85,2000.0,21.47,True,True,False,False,Distillate Fuels,,,"Diesel*, Number two fuel oil (No. 2)* or kerosene.",,0.0015,,,,,,,,,100.0,per year per emergency generator,,,,"The EG(s) shall be operated only under the following situations: (a) During the performance of normal testing and maintenance procedures, as recommended in writing by the manufacturer, the facility's standard operating procedure, and/or as required in writing by a Federal or State law or regulation; or(b)When there is a power outage or the facility's primary source of mechanical or thermal energy fails because of an emergency; (for fire pump(s) used to provide power to pump water for fire suppression or protection, or in case of flood, and/or sensors detect a loss of pressure in the fire water system - as when one or more sprinkler heads actuate due to exposure to heat above their design temperature); or when the power disruption resulted from construction, repair, or maintenance activity (CRM) at the facility. Operation of the EG under construction, repair, or maintenance activity is limited to 30 days in any calendar year; or(c) When there is a voltage reduction issued by PJM and posted on the PJM internet website (www.pjm.com) under the ""Emergency Procedures"" menu. [N.J.A.C.7:27-8] & [N.J.A.C. 7:27-19.1]",20.0,True,,5.0,,,Equipment entry from the inventory table: 'E1 / GEN 1 / 21.47 MMBTU/Hr Emerg. Gen. (2000 kW)'. Fuel type/grade and 15 ppm sulfur from Facility Specific Requirements (GP-005A) Items 8 and Section B applicability. Operating hours limit (<=100 hours per year per generator for testing/maintenance) from Item 6. Allowed operating modes from Item 9. Opacity limit 20% from Item 3. Hour meter required from Items 9 and 18. No make/model stated anywhere in the provided permit.
GEN250001,2025-09-12,2030-09-11,205 MINNISINK ROAD DATA CENTER,"205 Minnisink Rd
Totowa Boro
Passaic County",Passaic County,NJ,32741,,,,,True,"The Department and it representatives have the right to enter and inspect any facility or property in accordance with N.J.A.C. 7:27-1.31(a)1-8; and No person shall obstruct, hinder or delay the Department or its representatives in its exercise of its rights.","Permit number taken from 'Permit Activity ID Number: GEN250001' and 'Permit Activity No.:  GEN250001'. Facility name/address from Plant Location block. Facility ID from 'Program Interest No: 32741' and 'Facility ID No.: 32741'. Approval and Expiration dates from header. Copy onsite requirement from Section A, (g). Right of entry excerpt from Section A, (k).",1109638_GEN250001_36949246.json,1.0,E2,,,GEN 2,,,2978.85,2978.85,2000.0,21.47,True,True,False,False,Distillate Fuels,,,"Diesel*, Number two fuel oil (No. 2)* or kerosene.",,0.0015,,,,,,,,,100.0,per year per emergency generator,,,,"The EG(s) shall be operated only under the following situations: (a) During the performance of normal testing and maintenance procedures, as recommended in writing by the manufacturer, the facility's standard operating procedure, and/or as required in writing by a Federal or State law or regulation; or(b)When there is a power outage or the facility's primary source of mechanical or thermal energy fails because of an emergency; (for fire pump(s) used to provide power to pump water for fire suppression or protection, or in case of flood, and/or sensors detect a loss of pressure in the fire water system - as when one or more sprinkler heads actuate due to exposure to heat above their design temperature); or when the power disruption resulted from construction, repair, or maintenance activity (CRM) at the facility. Operation of the EG under construction, repair, or maintenance activity is limited to 30 days in any calendar year; or(c) When there is a voltage reduction issued by PJM and posted on the PJM internet website (www.pjm.com) under the ""Emergency Procedures"" menu. [N.J.A.C.7:27-8] & [N.J.A.C. 7:27-19.1]",20.0,True,,5.0,,,Equipment entry from the inventory table: 'E2 / GEN 2 / 21.47 MMBTU/Hr Emerg. Gen. (2000 kW)'. Same permit-wide conditions and specifications as E1. No make/model stated.
GEN250001,2025-09-12,2030-09-11,205 MINNISINK ROAD DATA CENTER,"205 Minnisink Rd
Totowa Boro
Passaic County",Passaic County,NJ,32741,,,,,True,"The Department and it representatives have the right to enter and inspect any facility or property in accordance with N.J.A.C. 7:27-1.31(a)1-8; and No person shall obstruct, hinder or delay the Department or its representatives in its exercise of its rights.","Permit number taken from 'Permit Activity ID Number: GEN250001' and 'Permit Activity No.:  GEN250001'. Facility name/address from Plant Location block. Facility ID from 'Program Interest No: 32741' and 'Facility ID No.: 32741'. Approval and Expiration dates from header. Copy onsite requirement from Section A, (g). Right of entry excerpt from Section A, (k).",1109638_GEN250001_36949246.json,1.0,E3,,,GEN 3,,,2978.85,2978.85,2000.0,21.47,True,True,False,False,Distillate Fuels,,,"Diesel*, Number two fuel oil (No. 2)* or kerosene.",,0.0015,,,,,,,,,100.0,per year per emergency generator,,,,"The EG(s) shall be operated only under the following situations: (a) During the performance of normal testing and maintenance procedures, as recommended in writing by the manufacturer, the facility's standard operating procedure, and/or as required in writing by a Federal or State law or regulation; or(b)When there is a power outage or the facility's primary source of mechanical or thermal energy fails because of an emergency; (for fire pump(s) used to provide power to pump water for fire suppression or protection, or in case of flood, and/or sensors detect a loss of pressure in the fire water system - as when one or more sprinkler heads actuate due to exposure to heat above their design temperature); or when the power disruption resulted from construction, repair, or maintenance activity (CRM) at the facility. Operation of the EG under construction, repair, or maintenance activity is limited to 30 days in any calendar year; or(c) When there is a voltage reduction issued by PJM and posted on the PJM internet website (www.pjm.com) under the ""Emergency Procedures"" menu. [N.J.A.C.7:27-8] & [N.J.A.C. 7:27-19.1]",20.0,True,,5.0,,,Equipment entry from the inventory table: 'E3 / GEN 3 / 21.47 MMBTU/Hr Emerg. Gen. (2000 kW)'. Same permit-wide conditions and specifications as E1. No make/model stated.
GEN250001,2025-09-12,2030-09-11,205 MINNISINK ROAD DATA CENTER,"205 Minnisink Rd
Totowa Boro
Passaic County",Passaic County,NJ,32741,,,,,True,"The Department and it representatives have the right to enter and inspect any facility or property in accordance with N.J.A.C. 7:27-1.31(a)1-8; and No person shall obstruct, hinder or delay the Department or its representatives in its exercise of its rights.","Permit number taken from 'Permit Activity ID Number: GEN250001' and 'Permit Activity No.:  GEN250001'. Facility name/address from Plant Location block. Facility ID from 'Program Interest No: 32741' and 'Facility ID No.: 32741'. Approval and Expiration dates from header. Copy onsite requirement from Section A, (g). Right of entry excerpt from Section A, (k).",1109638_GEN250001_36949246.json,1.0,E4,,,GEN 4,,,2978.85,2978.85,2000.0,21.47,True,True,False,False,Distillate Fuels,,,"Diesel*, Number two fuel oil (No. 2)* or kerosene.",,0.0015,,,,,,,,,100.0,per year per emergency generator,,,,"The EG(s) shall be operated only under the following situations: (a) During the performance of normal testing and maintenance procedures, as recommended in writing by the manufacturer, the facility's standard operating procedure, and/or as required in writing by a Federal or State law or regulation; or(b)When there is a power outage or the facility's primary source of mechanical or thermal energy fails because of an emergency; (for fire pump(s) used to provide power to pump water for fire suppression or protection, or in case of flood, and/or sensors detect a loss of pressure in the fire water system - as when one or more sprinkler heads actuate due to exposure to heat above their design temperature); or when the power disruption resulted from construction, repair, or maintenance activity (CRM) at the facility. Operation of the EG under construction, repair, or maintenance activity is limited to 30 days in any calendar year; or(c) When there is a voltage reduction issued by PJM and posted on the PJM internet website (www.pjm.com) under the ""Emergency Procedures"" menu. [N.J.A.C.7:27-8] & [N.J.A.C. 7:27-19.1]",20.0,True,,5.0,,,Equipment entry from the inventory table: 'E4 / GEN 4 / 21.47 MMBTU/Hr Emerg. Gen. (2000 kW)'. Same permit-wide conditions and specifications as E1. No make/model stated.
73240,2024-09-20,,21571 Beaumeade Circle LLC,"21571 Beaumeade Circle  Ashburn, Virginia  20147",Loudoun County,VA,73240,True,30.0,,,True,"The permittee shall allow authorized local, state, and federal representatives, upon the presentation of credentials: To enter upon the permittee's premises on which the facility is located or in which any records are required to be kept under the terms and conditions of this permit; To have access to and copy at reasonable times any records required to be kept under the terms and conditions of this permit or the State Air Pollution Control Board Regulations; To inspect at reasonable times any facility, equipment, or process subject to the terms and conditions of this permit or the State Air Pollution Control Board Regulations; and To sample or test at reasonable times. For purposes of this condition, the time for inspection shall be deemed reasonable during regular business hours or whenever the facility is in operation. Nothing contained herein shall make an inspection time unreasonable during an emergency.","Permit number and state facility ID from 'Registration No.:  73240'. Issuance date from 'Approved on: September 20, 2024.' No expiration date stated. Construction commenced notification requirement and 30-day window from Condition 26.a. Integration operational period notification (15 days) is present but not explicitly labeled as initial startup notification; therefore initialStartupNotificationRequired left null.",73240_DC_Permit.json,6.0,G1 - G6,False,2002-11-13,,Caterpillar,3516B,2885.0,2885.0,2000.0,18.883,False,True,False,True,diesel fuel oil,,,grade low sulfur 2-D or grade 2-D S500,ASTM D975,0.0005,True,A change in the fuel type or the fuel sulfur content may require a permit to modify and operate.,,,,1200.0,,Sulfur Dioxide (SO2) emissions from the engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) shall be controlled by the use of low sulfur diesel fuel oil with a sulfur content not to exceed 0.05% by weight. Carbon monoxide (CO) and volatile organic compounds (VOC) emissions from the engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) shall be controlled by proper combustion practices. Proper combustion of and visible emissions from the engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) shall be controlled by the use of good operating practices and performing maintenance in accordance with the manufacturer recommendations.,,,1200.0,Ref. Nos. G1 - G6,in any twelve-month period,"Operating Scenarios for Engine Gen-Sets - a. Emergency / Critical Power Generation: i. Emergency: The engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) may be operated in situations where immediate action on the part of the facility is needed due to a failure or loss of electrical power service resulting from a failure of the primary power provider and the failure or loss of power service is beyond the reasonable control of the facility. Operation under these circumstances shall be allowed for the period of time the primary electrical power provider service is unavailable. Once primary electrical power provider service is available the engine gen-sets may be operated in accordance with Critical Power Generation as defined below. ii. Critical Power Generation: The engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) may be operated in situations where immediate action on the part of the facility is needed due to a loss or anticipated loss of acceptable electrical power service from the primary provider and the loss or anticipated loss of power service is beyond the reasonable control of the facility. Operation under these circumstances shall be allowed until such time as acceptable power provider service is restored or the loss of acceptable power provider service is no longer reasonably anticipated. b. Alternate Power Generation: Except as specified in subsection 5.c and 5.d below, an engine gen-set (Ref. Nos. G1 - G9 and G11 - G12) may be operated voluntarily for the purposes of peak-shaving, demand response, or as part of an interruptible power supply arrangement with a power provider, other market participant, or system operator if the engine is equipped with a selective catalytic reduction system (SCR) that achieves the manufacturer's guaranteed maximum emission reductions based on fuel type. Operations, as outlined in this subsection, shall be allowed when the engine gen-set is operating at a load level necessary to sustain urea injection. Prior to construction of the SCR unit, when changing from Emergency Power or Critical Power Generation to Alternate Power Generation, the permittee shall submit appropriate documentation to the Department of Environmental Quality (DEQ), and receive DEQ approval for the change in the method of operation of the engine gen-set to ensure that the facility remains in compliance with the appropriate permitting requirements. c. The engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) may be operated for periodic maintenance, testing, and operational training. d. The engine gen-sets (Ref. Nos. G1 - G9 and G11 - G12) may be operated for participation in PJM's Emergency Load Response Program (ELRP) during times of a PJM declared emergency, as defined in the PJM Manual 13 Emergency Operations. Operations under this scenario shall not exceed 60 hours per engine gen-set each calendar year.",20.0,True,once per day during days in which the engine gen-set (Ref. Nos. G1 - G9 and G11 - G12) is called into service,5.0,,,"Equipment previously permitted from Equipment List table (Process Requirements, Page 2): 'G1 - G6 Six (6) Diesel Engine Driven Generator Sets Caterpillar, Model 3516B 2,885 bhp, 2,000 kW (each)'. Grouped per permit. Combined operating hours limit (1,200 hours) from Condition 7.b. Fuel specs from Condition 12. Hour meter and monitoring from Conditions 3.a and 4. Opacity limit from Condition 17. PJM ELRP 60 hours per engine per calendar year from Condition 5.d (not captured as per-unit limit field)."
